	Tweets	Date	Source	Likes	RTs
0	"Stephen Hawking
Stefan Karl Stefansson
Stan Lee
Stephen Hillenburg

My heroes...
May all of them rest in peace..."	2018-11-28 16:55:33	Twitter for Android	0	0
1	"Midweek workday podcast entertainment:
@BabylonProjPodc B5 ""Conflicts Of Interest""
@DecipherSciFi Blade… https://t.co/aEn9HRHy2c"	2018-11-28 16:55:13	Twitter Web Client	0	0
2	Stan Lee's Cause of Death is Revealed | Daily Celebrity News | Splash TV: https://t.co/1sE3tK38Bc via @YouTube	2018-11-28 16:55:06	Google	0	0
3	Interview: 'Into the Spider-Verse' Producers Phil Lord and Chris Miller Talk Spider-Man, Stan Lee and Reinventing t… https://t.co/CzVVnJAQh0	2018-11-28 16:55:00	Buffer	0	0
4	@UpToTASK wait until you see the stan lee cameo dawg. seriously. you can tell bendis and folks at marvel comics were all up in this film	2018-11-28 16:54:51	TweetDeck	0	0
5	Also first marvel movie to be released post Stan Lee :(	2018-11-28 16:54:49	Twitter for Android	1	0
6	@TheRealRaNon Doesn't it seem like Wilson Fisk has been running the whole show? What did Stan Lee know, lol? Well I… https://t.co/IaCatvd9CA	2018-11-28 16:54:35	Twitter Web Client	0	0
7	For more on #IntoTheSpiderVerse, here's my exclusive @Fandango chat with producer/writer @philiplord and producer… https://t.co/swXhanoC96	2018-11-28 16:54:15	TweetDeck	6	0
8	My childhood is going down in a blaze of sadness first Stan lee now Stephen Hillenberg	2018-11-28 16:53:47	Twitter for iPhone	0	0
9	When you forget to turn your notifs back on🤦♂️	2018-11-28 16:53:23	Twitter for Android	0	0
10	First Stan Lee and now Stephen Hillenburg. Hits me right in my heart and childhood. https://t.co/01R8T34ksL	2018-11-28 16:53:21	Facebook	0	0
11	@TJFutureCPA All of Stan Lee's sixties creations tend to shun their origins today, because they were so time period… https://t.co/Bfiw0Xy95Q	2018-11-28 16:52:50	Twitter Web Client	0	0
12	Be some one amazing like Stephen Hawking or Stan Lee or Stephen Hillenburg, create something that makes you happy a… https://t.co/MPSx97NQRk	2018-11-28 16:51:58	Twitter for iPhone	0	0
13	@Stephfluffy Also the last time you went to the library was when Stan lee died? Smh	2018-11-28 16:51:51	Twitter for iPhone	1	0
14	@Genius How many times yall bouta say the line😂😂	2018-11-28 16:50:24	Twitter for Android	0	0
15	Stan Lee appearance 😥	2018-11-28 16:50:24	Twitter for Android	0	0
16	@MrChuckD Stan Lee loved, LOVED, his fans. Every one of them. I recall a message from him a few years ago about com… https://t.co/wMrrTwPol9	2018-11-28 16:50:17	Twitter for iPhone	0	0
17	Stan Lee Signed Amazing Spider-Man #175 Comic Book Punisher/Hitman PSA #W18769 https://t.co/0IDC3T04tV https://t.co/iNB1n23TYj	2018-11-28 16:50:08	WordPress.com	0	0
18	"**LATEST POST**  5 Memorable (and Useful)  Stan Lee Quotes

https://t.co/APUPRENO5p

#mindset #life #belief #hustle… https://t.co/dcIUf9Etoc"	2018-11-28 16:50:05	Crowdfire - Go Big	0	0
19	"Aretha Franklin, Mac Miller, Stan Lee, and Stephen Hillenburg all are gone. I am HURT.

when this year ends, we wil… https://t.co/4oKhlG6RsC"	2018-11-28 16:48:59	Twitter for iPhone	2	0
20	If you're not into STOOPID hype music.. Don't listen you FEFE🤡	2018-11-28 16:48:57	Twitter for Android	0	0
21	@CollTheFinesser Yea that spongebob shit caught me off guard low key a nigga childhood lol. Stan lee tho he was the… https://t.co/ZHnC8zAbXt	2018-11-28 16:48:44	Twitter for iPhone	0	0
22	This just fucking sucks. We lost two fucking Stephen's in the span of 5 months. Let's not forget that Stan Lee died… https://t.co/Up2qtaLVGa	2018-11-28 16:48:40	Twitter Web Client	0	0
23	"A tribute to @therealstanlee Stan lee 
I made ballpoint sketch then scan it and colored it in Photoshop
#stanlee… https://t.co/Mg81VIbL4O"	2018-11-28 16:48:20	Instagram	1	0
24	Stan Lee's Cause of Death is Revealed https://t.co/kV698e12ch	2018-11-28 16:47:57	Twitter Web Client	2	1
25	You guys are fucking scum using Stan Lee's cause of death for a fucking clickbait https://t.co/ZXkL5aW4ES	2018-11-28 16:47:18	Twitter for iPhone	0	0
26	Stan Lee's cause of death revealed https://t.co/IGYSeVg5pV	2018-11-28 16:46:42	Twitter Web Client	0	0
27	FUNKO POP AUTOGRAPH GOLD STAN LEE 03 NYCC 2015 EXCLUSIVE WITH STACKS PROTECTOR https://t.co/VVRxJ0xiUT https://t.co/IIAtkTxAc7	2018-11-28 16:45:55	rocket league depot	0	0
28	The tribute to Stan Lee in this month’s @empiremagazine is quite lovely.	2018-11-28 16:45:19	Twitter for iPhone	0	0
29	We (Paul, Pat &amp; @Honor_Knight) needed to get our thoughts about #StanLee out. So here they are. Enjoy!… https://t.co/Ju4RMB2u4M	2018-11-28 16:45:00	TweetDeck	0	0
30	@haydentiff @Rufitiruffruff @mdudas @XRPTrump @Ripple This guy is a real superhero to bad Stan lee passed away he c… https://t.co/PKephSo3sg	2018-11-28 16:44:31	Twitter for iPhone	0	0
31	New episode posted! We roast Bob McNair's ghost, miss Stan Lee, discuss Thanksgiving as the most BS holiday, compar… https://t.co/gus40tQZHl	2018-11-28 16:44:14	Twitter Web Client	1	1
